Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,varchar(20),utf8_general_ci,NO,PRI,,,"select,insert,update,references",
version,varchar(255),utf8_general_ci,YES,,,,"select,insert,update,references",
type,varchar(50),utf8_general_ci,NO,,,,"select,insert,update,references",
active,tinyint(1),,NO,,,,"select,insert,update,references",
lang,varchar(50),utf8_general_ci,NO,,,,"select,insert,update,references",
appendix,varchar(255),utf8_general_ci,YES,,,,"select,insert,update,references",
attachments,varchar(255),utf8_general_ci,YES,,,,"select,insert,update,references",
gallery,varchar(255),utf8_general_ci,YES,,,,"select,insert,update,references",
subject,varchar(255),utf8_general_ci,NO,,,,"select,insert,update,references",
content,varchar(255),utf8_general_ci,NO,,,,"select,insert,update,references",
ts_planned,bigint unsigned,,NO,,,,"select,insert,update,references",
user_created,int unsigned,,NO,,,,"select,insert,update,references",
ts_created,bigint unsigned,,NO,,,,"select,insert,update,references",
ts_active,bigint unsigned,,NO,,,,"select,insert,update,references",
